"filename", "language", "Python", "Django txt", "Django HTML", "Markdown", "CSS", "JavaScript", "HTTP", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\migrations\0007_auto_20210318_0023.py", "Python", 118, 0, 0, 0, 0, 0, 0, 1, 6, 125
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\migrations\0008_auto_20210318_0211.py", "Python", 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\migrations\0009_auto_20210321_1403.py", "Python", 18, 0, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\migrations\0010_auto_20210322_2243.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\migrations\0011_auto_20210413_0028.py", "Python", 57, 0, 0, 0, 0, 0, 0, 1, 6, 64
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\migrations\0012_auto_20210413_0104.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\models.py", "Python", 468, 0, 0, 0, 0, 0, 0, 26, 41, 535
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\tests.py", "Python", 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\urls.py", "Python", 67, 0, 0, 0, 0, 0, 0, 13, 2, 82
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\views.txt", "Django txt", 0, 5026, 0, 0, 0, 0, 0, 0, 131, 5157
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\APP\polls\其他.txt", "Django txt", 0, 83, 0, 0, 0, 0, 0, 0, 14, 97
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\WebEngineering\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering_Production\WebEngineering\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 8, 5, 17
