"filename", "language", "Python", "NGINX Conf", "Markdown", "CSS", "HTTP", "Django HTML", "Django txt", "JavaScript", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\models.py", "Python", 480, 0, 0, 0, 0, 0, 0, 0, 27, 41, 548
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\urls.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 13, 2, 84
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\views.txt", "Django txt", 0, 0, 0, 0, 0, 0, 5026, 0, 0, 131, 5157
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\其他.txt", "Django txt", 0, 0, 0, 0, 0, 0, 83, 0, 0, 14, 97
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\WebEngineering\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\WebEngineering\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\WebEngineering\celery.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 5, 7, 25
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\WebEngineering\settings.py", "Python", 207, 0, 0, 0, 0, 0, 0, 0, 55, 44, 306
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\WebEngineering\urls.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 18, 1, 47
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\WebEngineering\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\apiifiles\开发记录.txt", "Django txt", 0, 0, 0, 0, 0, 0, 33, 0, 0, 11, 44
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\manage.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 2, 5, 27
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\nginx.conf", "NGINX Conf", 0, 55, 0, 0, 0, 0, 0, 0, 76, 17, 148
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\css\bootstrap.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 10, 0, 12
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\css\dashboard.css", "CSS", 0, 0, 0, 80, 0, 0, 0, 0, 6, 19, 105
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\css\index.css", "CSS", 0, 0, 0, 48, 0, 0, 0, 0, 0, 2, 50
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\css\main.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\css\signin.css", "CSS", 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\css\style.css", "CSS", 0, 0, 0, 1023, 0, 0, 0, 0, 8, 28, 1059
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\drf-yasg\immutable.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 28, 6, 0, 34
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\drf-yasg\insQ.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 4
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\drf-yasg\redoc-init.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 54, 3, 11, 68
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\static\drf-yasg\redoc-old\redoc.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 8
