Date : 2021-03-22 19:28:08
Directory : e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering
Total : 100 files,  18913 codes, 433 comments, 871 blanks, all 20217 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\forms.py                              | Python      |          0 |          0 |          1 |          1 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\migrations\0001_initial.py            | Python      |          6 |          1 |          6 |         13 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\migrations\0002_auto_20210317_2254.py | Python      |        352 |          1 |          7 |        360 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\migrations\0003_auto_20210317_2300.py | Python      |        195 |          1 |          6 |        202 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\migrations\0004_auto_20210317_2327.py | Python      |        762 |          1 |          6 |        769 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\migrations\0005_auto_20210317_2328.py | Python      |         11 |          1 |          6 |         18 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\migrations\0006_auto_20210317_2334.py | Python      |         32 |          1 |          6 |         39 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\migrations\0007_auto_20210318_0023.py | Python      |        118 |          1 |          6 |        125 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\migrations\0008_auto_20210318_0211.py | Python      |         13 |          1 |          6 |         20 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\migrations\0009_auto_20210321_1403.py | Python      |         18 |          1 |          6 |         25 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\migrations\__init__.py                | Python      |          0 |          0 |          1 |          1 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\models.py                             | Python      |        395 |         26 |         40 |        461 |
