"filename", "language", "Python", "JSON with Comments", "Markdown", "Properties", "Django HTML", "Django txt", "CSS", "compressionTargetFile", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyCurricula\Database_20210810102842.py", "Python", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 128
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyCurricula\Database_20210810113058.py", "Python", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 128
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyCurricula\Database_20210810123401.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 5, 158
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyCurricula\Database_20210810141239.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 5, 182
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyDept\Database_20210806152915.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyDept\Database_20210806154137.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 25
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyDept\Database_20210806160156.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyDept\Database_20210807153905.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyDept\Database_20210808162547.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 31
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyDept\Database_20210808220546.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyDept\Database_20210810102857.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyDept\Database_20210810124855.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 34
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyDept\Database_20210810134039.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 34
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210806152915.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210806155511.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 80
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210806160245.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 80
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210807153916.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 80
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210808162747.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 80
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210808220659.py", "Python", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 79
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\EquipmentModel\Database_20210808221207.py", "Python", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 101
